Conforme adv ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=as nextT=art nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=regras next2T=n next2Cap=min palpite=O
as art ini=ncap cap=min simb=alpha prevW=Conforme prevT=adv prevCap=maxmin nextW=regras nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=da next2T=v-pcp next2Cap=min palpite=O
regras n ini=ncap cap=min simb=alpha prevW=as prevT=art prevCap=min nextW=da nextT=v-pcp nextCap=min prev2W=Conforme prev2T=adv prev2Cap=maxmin next2W=sele next2T=n next2Cap=min palpite=O
da v-pcp ini=ncap cap=min simb=alpha prevW=regras prevT=n prevCap=min nextW=sele nextT=n nextCap=min prev2W=as prev2T=art prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
sele n ini=ncap cap=min simb=alpha prevW=da prevT=v-pcp prevCap=min nextW=? nextT=punc nextCap=null prev2W=regras prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
? punc ini=simb cap=null simb=null prevW=sele prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=da prev2T=v-pcp prev2Cap=min next2W=os next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=? prevT=punc prevCap=null nextW=os nextT=art nextCap=min prev2W=sele prev2T=n prev2Cap=min next2W=candidatos next2T=n next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=candidatos nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=ser next2T=v-inf next2Cap=min palpite=O
candidatos n ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=ser nextT=v-inf nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=?classificados next2T=v-pcp next2Cap=null palpite=O
ser v-inf ini=ncap cap=min simb=alpha prevW=candidatos prevT=n prevCap=min nextW=?classificados nextT=v-pcp nextCap=null prev2W=os prev2T=art prev2Cap=min next2W=por next2T=prp next2Cap=min palpite=O
?classificados v-pcp ini=simb cap=null simb=null prevW=ser prevT=v-inf prevCap=min nextW=por nextT=prp nextCap=min prev2W=candidatos prev2T=n prev2Cap=min next2W=cargo next2T=n next2Cap=min palpite=O
por prp ini=ncap cap=min simb=alpha prevW=?classificados prevT=v-pcp prevCap=null nextW=cargo nextT=n nextCap=min prev2W=ser prev2T=v-inf prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
cargo n ini=ncap cap=min simb=alpha prevW=por prevT=prp prevCap=min nextW=, nextT=punc nextCap=null prev2W=?classificados prev2T=v-pcp prev2Cap=null next2W=disciplina next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=cargo prevT=n prevCap=min nextW=disciplina nextT=n nextCap=min prev2W=por prev2T=prp prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
disciplina n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=cargo prev2T=n prev2Cap=min next2W=munic next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=disciplina prevT=n prevCap=min nextW=munic nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
munic n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=?o nextT=n nextCap=null prev2W=disciplina prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
?o n ini=simb cap=null simb=null prevW=munic prevT=n prevCap=min nextW=. nextT=punc nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=?o prevT=n prevCap=null nextW=null nextT=null nextCap=null prev2W=munic prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
